name,star,review_info,detail_info_link,type,now_price,old_price
"Over Ear Headphone, Wired Premium Stereo Sound Headsets with 50mm Driver, Foldable Comfortable Headphones with Protein Earmuffs and Shareport for Recording Monitoring Podcast PC TV- with Mic (Silver)",4.4 out of 5 stars,471,https://www.amazon.com/Headphone-Comfortable-Headphones-Shareport-Monitoring/dp/B07G74V1YP/ref=sr_1_22?keywords=headphones&qid=1570712325&s=aht&sr=1-22,Silver,$39.99,
"Active Noise Cancelling Headphones,Utaxo Bluetooth Headphones Over Ear with Mic Hi-Fi Sound Deep Bass Foldable Wireless Headset,Quick Charge 30H Playtime for Cellphone PC TV Travel",4.6 out of 5 stars,961,https://www.amazon.com/Cancelling-Headphones-Utaxo-Bluetooth-Cellphone/dp/B07QL578VM/ref=sr_1_23?keywords=headphones&qid=1570712325&s=aht&sr=1-23,Electronics,$59.99,
"Bluetooth Headphones, Letsfit Wireless Headphones, IPX7 Waterproof Sports Earphones Gym Running, HD Stereo Headset w/Mic, 8 Hours Battery Noise Cancelling Bluetooth Earbuds",4.3 out of 5 stars,"3,641",https://www.amazon.com/Bluetooth-Headphones-Letsfit-Waterproof-Cancelling/dp/B07HTCFWHH/ref=sr_1_24?keywords=headphones&qid=1570712325&s=aht&sr=1-24,Pinkgrey,$19.95,
"Mpow CH6 [2019 New Version] Kids Headphones Over-Ear/On-Ear, HD Sound Sharing Function Headphones for Children Boys Girls, Volume Limited Safe Foldable Headset W/Mic for School/PC/Cellphone",4.4 out of 5 stars,655,https://www.amazon.com/Mpow-Headphones-Over-Ear-Function-Cellphone/dp/B07S72XWBG/ref=sr_1_25?keywords=headphones&qid=1570712325&s=aht&smid=A1E57UY6AMKO25&sr=1-25,Blackred,$12.99,
"3 Packs Earbud Headphones with Remote & Microphone, SourceTon In Ear Earphone Stereo Sound Noise Isolating Tangle Free for iOS and Android Smartphones, Laptops, Gaming, Fits All 3.5mm Interface Device",4.0 out of 5 stars,542,https://www.amazon.com/Headphones-Microphone-SourceTon-Isolating-Smartphones/dp/B077ZYLMZV/ref=sr_1_26?keywords=headphones&qid=1570712325&s=aht&sr=1-26,Red,$8.99,
Bose SoundLink Around Ear Wireless Headphones II - Black,4.3 out of 5 stars,"2,395",https://www.amazon.com/Bose-SoundLink-around-ear-wireless-headphones/dp/B0117RGG8E/ref=sr_1_27?keywords=headphones&qid=1570712325&s=aht&sr=1-27,Black,$229.00,$279.00
Elecder i37 Kids Headphones Children Girls Boys Teens Foldable Adjustable On Ear Headphones 3.5mm Jack Compatible iPad Cellphones Computer MP3/4 Kindle Airplane School Tablet Purple/Green,4.5 out of 5 stars,"1,739",https://www.amazon.com/i37-Headphones-Adjustable-Compatible-Cellphones/dp/B078XZX9MD/ref=sr_1_28?keywords=headphones&qid=1570712325&s=aht&sr=1-28,Green,$13.99,
Betron MK23 Earphones Noise Isolating in Ear Headphones with Microphone Bass Driven Sound Tangle-Free Flat Cable for Apple iPhone iPod iPad Samsung,4.2 out of 5 stars,Sponsored,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg1_1?ie=UTF8&adId=A02011661OSM9A2PMCLKF&url=%2FBetron-MK23-Headphones-Microphone-Tangle-Free%2Fdp%2FB07HLTDQ7B%2Fref%3Dsr_1_29_sspa%3Fkeywords%3Dheadphones%26qid%3D1570712325%26s%3Daht%26sr%3D1-29-spons%26psc%3D1&qualifier=1570712324&id=7126474431347436&widgetName=sp_btf,Electronics,$11.99,
"Bluetooth Headphones, Wireless Headset in-Ear V4.2 +EDR Stereo Noise Canceling Sweatproof Gym Sport Earphones Compatible with Samsung S8/S7/S6 Note 8/7 Android Smartphones",5.0 out of 5 stars,Sponsored,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg1_2?ie=UTF8&adId=A01780392GUODV1LLCMWP&url=%2FBluetooth-Headphones-Sweatproof-Compatible-Smartphones%2Fdp%2FB07MK6JC7T%2Fref%3Dsr_1_30_sspa%3Fkeywords%3Dheadphones%26qid%3D1570712325%26s%3Daht%26sr%3D1-30-spons%26psc%3D1&qualifier=1570712324&id=7126474431347436&widgetName=sp_btf,Beauty,$13.99,
"On Ear Headphones with Mic, Vogek Lightweight Portable Fold-Flat Stereo Bass Headphones with 1.5M Tangle Free Cord and Microphone-Black",4.5 out of 5 stars,"1,169",https://www.amazon.com/Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/dp/B07MCCJ6VY/ref=sxin_2_ac_d_rm?ac_md=0-0-aGVhZHBob25lcw%3D%3D-ac_d_rm&keywords=headphones&pd_rd_i=B07MCCJ6VY&pd_rd_r=39a2f84d-6e21-49a1-8fe9-37bdba48076e&pd_rd_w=KV3Vx&pd_rd_wg=cRpVz&pf_rd_p=2938a786-9bec-4d37-8c06-456e3edce5d1&pf_rd_r=5XM2JJRAPX8VQBHXG1F3&psc=1&qid=1570712328,,$12.99,
"Panasonic ErgoFit In-Ear Earbud Headphones RP-HJE120-K (Black) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit",4.1 out of 5 stars,"59,526",https://www.amazon.com/Panasonic-Headphones-RP-HJE120-K-Ergonomic-Comfort-Fit/dp/B003EM8008/ref=sxin_2_ac_d_rm?ac_md=1-1-ZWFycGhvbmVz-ac_d_rm&keywords=headphones&pd_rd_i=B003EM8008&pd_rd_r=39a2f84d-6e21-49a1-8fe9-37bdba48076e&pd_rd_w=KV3Vx&pd_rd_wg=cRpVz&pf_rd_p=2938a786-9bec-4d37-8c06-456e3edce5d1&pf_rd_r=5XM2JJRAPX8VQBHXG1F3&psc=1&qid=1570712328,,$9.73,$15.00
"True Wireless Earbuds, CC Comeproof Bluetooth 5.0 Auto Paring IPX8 Waterproof Earbuds with Wireless Charging Case, 20H Playtime HiFi Stereo Sound Deep Bass in-Ear Headphones.",4.4 out of 5 stars,550,https://www.amazon.com/CC-Comeproof-Bluetooth-Waterproof-Headphones/dp/B07TPM3YXH/ref=sxin_2_ac_d_rm?ac_md=2-2-d2lyZWxlc3MgaGVhZHBob25lcyBibHVldG9vdGg%3D-ac_d_rm&keywords=headphones&pd_rd_i=B07TPM3YXH&pd_rd_r=39a2f84d-6e21-49a1-8fe9-37bdba48076e&pd_rd_w=KV3Vx&pd_rd_wg=cRpVz&pf_rd_p=2938a786-9bec-4d37-8c06-456e3edce5d1&pf_rd_r=5XM2JJRAPX8VQBHXG1F3&psc=1&qid=1570712328,,$29.99,
